date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:38:19	20335/20335	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.eot	(from http://www.moezkrichen.tn/assets/css/bootstrap.min.css)
11:38:19	23320/23320	U-----	200	untouched ('')	font/woff	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.woff	(from http://www.moezkrichen.tn/assets/css/bootstrap.min.css)
11:38:19	41280/41280	U-----	200	untouched ('')	font/ttf	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.ttf	(from http://www.moezkrichen.tn/assets/css/bootstrap.min.css)
11:38:19	62926/62926	U-----	200	untouched ('OK')	image/svg+xml	date:Thu,%2014%20Jan%202016%2004:45:42%20GMT	http://www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/glyphicons-halflings-regular.svg	(from http://www.moezkrichen.tn/assets/css/bootstrap.min.css)
11:38:19	68875/68875	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.eot?v=4.3.0	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfonte0a5.eot	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:19	68875/68875	U-----	200	untouched ('')	application/vnd.ms-fontobject	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.eot?	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfontd41d.eot	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:20	64464/64464	U-----	200	untouched ('')	font/woff2	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.woff2?v=4.3.0	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfonte0a5.woff2	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:20	81284/81284	U-----	200	untouched ('')	font/woff	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.woff?v=4.3.0	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfonte0a5.woff	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:20	138204/138204	U-----	200	untouched ('')	font/ttf	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.ttf?v=4.3.0	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfonte0a5.ttf	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:20	355981/355981	U-----	200	untouched ('OK')	image/svg+xml	date:Tue,%2028%20Jul%202015%2008:44:46%20GMT	http://www.moezkrichen.tn/assets/fonts/fontawesome-webfont.svg?v=4.3.0	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/fontawesome-webfonte0a5.svg	(from http://www.moezkrichen.tn/assets/css/plugins.css)
11:38:20	22944/22944	U-----	200	untouched ('')	font/woff2	date:Tue,%2001%20Sep%202015%2011:12:26%20GMT	http://www.moezkrichen.tn/assets/fonts/Raleway-SemiBold.woff2	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Raleway-SemiBold.woff2	(from http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css)
11:38:21	22592/22592	U-----	200	untouched ('')	font/woff2	date:Tue,%2012%20May%202015%2007:48:54%20GMT	http://www.moezkrichen.tn/assets/fonts/Raleway-Bold.woff2	C:/Users/dell/Desktop/tt/www.moezkrichen.tn/assets/fonts/Raleway-Bold.woff2	(from http://www.moezkrichen.tn/assets/css/roboto-railway-webfont.css)
